Directorio,¿Juega videojuegos?,¿Con qué frecuencia?
3086882,2,0
3086883,2,0
3086884,1,3
3086884,2,0
3086884,2,0
3086885,2,0
3086887,2,0
3086887,2,0
3086887,2,0
3086888,1,2
3086888,1,2
3086888,1,2
3086888,1,2
3086888,1,2
3086888,2,0
3086888,2,0
3086889,2,0
3086889,2,0
3086890,2,0
3086890,2,0
3086891,1,2
3086891,2,0
3086891,2,0
3086891,2,0
3086892,1,2
3086892,2,0
3086893,2,0
3086895,1,2
3086895,2,0
3086895,2,0
3086895,2,0
3086896,2,0
3086897,2,0
3086897,2,0
3086898,2,0
3086899,2,0
3086899,2,0
3086899,2,0
3086900,1,2
3086900,2,0
3086900,2,0
3086901,2,0
3086902,1,1
3086902,1,1
3086903,1,2
3086903,2,0
3086904,2,0
3086904,2,0
3086904,2,0
3086904,2,0
3086905,2,0
3086905,2,0
3086905,2,0
3086906,2,0
3086909,2,0
3086910,2,0
3086911,2,0
3086912,1,3
3086912,2,0
3086912,2,0
3086916,2,0
3086916,2,0
3086917,1,3
3086917,2,0
3086918,2,0
3086918,2,0
3086918,2,0
3086919,2,0
3086920,2,0
3086920,2,0
3086920,2,0
3086920,2,0
3086921,1,4
3086921,2,0
3086922,2,0
3086923,1,1
3086923,2,0
3086923,2,0
3086924,2,0
3086924,2,0
3086925,2,0
3086925,2,0
3086925,2,0
3086926,2,0
3086926,2,0
3086927,2,0
3086929,2,0
3086929,2,0
3086929,2,0
3086930,2,0
3086931,1,3
3086931,1,4
3086932,2,0
3086933,2,0
3086933,2,0
3086934,1,2
3086934,2,0
3086935,2,0
3086935,2,0
3086936,2,0
3086939,1,2
3086939,2,0
3086940,1,1
3086940,1,2
3086940,2,0
3086940,2,0
3086941,2,0
3086941,2,0
3086942,1,2
3086942,2,0
3086943,2,0
3086943,2,0
3086944,2,0
3086944,2,0
3086946,2,0
3086947,1,2
3086947,1,2
3086947,2,0
3086947,2,0
3086949,2,0
3086949,2,0
3086949,2,0
3086950,1,2
3086950,2,0
3086951,2,0
3086951,2,0
3086951,2,0
3086952,2,0
3086953,1,2
